一行出去就係泳池，再行出啲就係沙灘。	一行出去就係泳池，再行出Ｄ就係沙灘！
鑽山竉	穿過山洞
咪睇達叔平時一身牛記笠記，其實禾桿冚珍珠，揸住五個的士牌喺手，過千萬身家都嚟喇。	別看他寒酸的樣子，達叔有5張出租車牌照，價值過千萬； 他只是把珍珠藏在大海撈針裡。
蘇聯解體之後，好多小國都宣佈獨立。	蘇聯解體後，許多國家宣布獨立。
老偶	老年
為妳着迷	迷戀她
有啲媽咪好驚佢哋嘅BB會有O字腳。	有的媽媽很怕寶寶會變成羅圈腿。
正中	正中央
我唔想再依附我男朋友，成日對佢千依百順我自己都好攰。	我厭倦了對我的伙伴服從，我不再是他的附庸。
隔	遮斷
沒花假	沒花巧
磁碟咁大塊，容量又細，依家仲有人用㗎咩？	軟盤笨重且存儲容量小。 仍然有人使用它們嗎？
嗰次喺石塘咀南里見到有雞蛋仔格仔餅賣	那次在石塘咀南里看見有雞蛋格子餅賣
漁農自然護理署每年都會捕捉到大約二百隻野豬。	漁農自然護理署每年捕撈約兩百頭野豬。
DNA檢驗報告印証咗佢哋嘅父子關係。	DNA鑑定結果證明他們是父子。
我哋走咗入一間商場度避雨。	我們跑進了一個商場避雨。
佢好鍾意喺朋友身上攞著數，大家都好討厭佢。	他喜歡從朋友那裡佔便宜。 我們所有人都討厭他。
其實而家有冇人想控制個機械人 ？	實際上 ， 有誰願意來駕駛這個機器人 ？
有個老婆婆喺粉嶺置榮徑等緊小巴	有個老婆婆在粉嶺置榮徑等小巴
而我自己覺得 分散劑係 隱瞞事實嘅主要策略 因為我哋要兇手 負責處理案發現場	就我個人的想法 ， 擴散劑的使用 ， 是掩藏事實的主要策略 。 因為我們讓兇手 負責清理事故現場 。
細粒	地位低
你估我好想咩？	你以為我很想嗎？
可以坐的士去吖	可以坐出租車去啊
即係有啲嘢學下囖。噉都想即係長期settledown睇下可唔可以學到啲比較即係實際啲嘅嘢囖。	就是有些東西學一下。這樣也想就是長期settledown看看能不能學到一些比較就是實際的東西。
俾	俾使
唔好成日思疑人先得㗎。	不要總是懷疑別人。
一匙羹生粉開兩匙羹水。	加入兩匙水溶解一匙玉米澱粉。
冚	統統
細佬仔有時好扭計㗎	小孩子有時很淘氣
佢今年十五歲啫。仲返緊學，未出嚟做嘢。	他才十五歲。 他還在上學，還沒有開始工作。
民眾擺設供品祭祀亡靈。	人們祭祀神靈。
乜嘢團友得唔得啊？	什麼團友行不行啊？
佢係個靚仔，當然啲女仔都幾鍾意佢。	他是一個英俊的年輕人，所以女孩們當然很喜歡他。
呢個電視遊戲節目除咗獎品之外，仲大派獎金。	這個遊戲節目除了各種獎品外，還送出大量的現金。
整出嚟做咩嘢？	弄出來做什麼？
我一秒就可以砌低你啦！	我彈指之間就能打敗你。
排長龍	排長隊
食得鹹魚抵得渴，有事我唔會埋怨你嘅。	我可以處理出現的任何問題，所以如果發生任何事情我不會責怪你。
單單打打	指雞罵狗
重多啲O.T.？	還多一點O.T.？
佢個人最唔不好老脾，喐啲就講打講殺	他這個人脾氣最壞，動不動就要用武力來解決問題
噉嘅嘢，邊個都唔食	這樣的東西，誰都不吃
沒有得救	救不活了
大家好 ， 我叫哈桑 ， 系一個藝術家	你好 。 我叫Hasan 。 我是一個藝術家 。
我頂唔蒲打咗個冷震。	我受不了了，有點發抖。
你真係好福氣，個女婿對你咁好。	你真幸運，你的女婿對你這麼好。
聽日交唔到點算	明天交不了怎麼辦
冇閪用。	這他媽的沒用。
五十個學生度	五十個學生左右
腳骨	腿腳
我知我知。	我知道 我知道。
恭喜小明當選今屆學會會長！	恭喜兆銘來年成為本會會長！
Windows NT 4.0伺服器包含喺BackOffice Small Business Server4.0以及4.5套裝軟體中。	Windows NT 4.0伺服器被包含於BackOffice Small Business Server4.0以及4.5套裝軟體中。
記得𠺘乾淨個口。	記得漱口直到干淨為止。
唔做	取消
佢係無辜㗎，要怪就怪我啦！	他是無辜的。 如果你需要責備誰，就責怪我吧！
呢個人打波真係零舍唔同㗎。	這個人打球的方式真的讓他與眾不同。
終審法院院長辦公室系2022年3月7號哥日公佈呢單案件嘅詳情。	終審法院院長辦公室於2022年3月7日公佈該案件。
啲細路係校長 同圖書館長欽點嘅	這些孩子真的是非常棒 ， 每一張笑臉都是校長親自挑選 ， 當然還有圖書管理員一起 。
間屋發生過命案，好邪㗎	這間房子以前發生過殺人案，很不吉利的
佢白食唔做嘢你吹佢唔脹。	他有免費的飯菜，不做任何工作，你也無能為力。
如果你係一名政客 或者你為一名政客打工 又或者你鍾意聯絡政客嘅話 請支援市級 、 縣級 、 州級 、 同聯邦級 相關法案嘅通過 嚟資助同支持工人擁有嘅企業	如果你是政治家 ， 或是你為政治家工作 ， 或是你就是喜歡和政治家說話 ， 請協助讓市 、 州 、 聯邦 和郡能通過法令 ， 因為我們需要這些法令去資助和 支持那些勞動者擁有的企業 。
啲魚幾生猛呀，買得過噃	這些魚多鮮活，值得買
我唔識路，打咗個𡃈先搵到你屋企。	我不認識路，只好繞了一圈才找到你家。
當你真係要睇曬全部來源嘅信息 你就會一直一直睇下去	當你真的去查看各種其他來源 ， 你可以無止境地持續下去 。
嚟種萬物歸一嘅概念 被我地好快就遺忘了 。	這種根本的萬物一體的概念 我們很快就忘記了
頂你個肺，咁多人死隻鵝仲未死	頂你個肺，這麼多人死只鵝還沒死
我喺呢度做阿四咖咋，影印、送信、斟茶、換水乜都要做。	我在這裡做一些卑微的工作：給她倒杯茶，給他送一封信，把水冷卻器裝滿，複印文件。
一單	一個單位的
沖涼房	洗澡間
我哋喺呢度解散，聽日再見！	我們就此散會，明天見！
掟煲唔掟蓋	繼續與自己的前任發生性關係
自我。	自我。
嘩，乜咁啱嘅	哇，怎麼這麼巧的
一係買咗Herry架121囖。	要麼買了Herry架121淘氣。
呢排去邊度打波多呀？	最近多到哪裡打球？
佢又可以取代 巨額投資人 ， 同喺我哋嘅社區 嘅連鎖店或者大商店 因為老實講 ， 宜家嘅發展模式 喺度偷我哋社區嘅資源	也就是說 ， 我們除了等大型投資者 把連鎖商店或倉儲式商店 帶進我們社區之外 ， 我們還有另一個替代方案 ， 因為 ， 老實說 ， 這類大型企業的發展 ， 都是在偷走我們社區的資源 。
閒事莫理，眾埞莫企	不干涉別人的事
大家覺得流定堅呢？	大家覺得是假的還是真的？
烏黢黢	烏溜溜
對眼	雙眼
承載力	承載能力/容量
封路唔係重點	不是在談論我們禁止車輛駛入百老匯
嗱喳	唧咕聲
呢種病醫唔到斷尾嘅噃	這種病去不了根兒的
話晒都係屋企人，佢會幫手都係合情合理嘅。	他們是他的家人； 他幫助他們是合理的。
另外嗰本書	另一本書
你咁輕，我一隻手就掅得起你	你這麼輕，我一隻手就能把你提溜起來
教育制度不斷改變，老師、家長同學生都無所適從。	千變萬化的教育體制讓老師、家長和學生無所適從。
呢件事我唔會就噉算數，你睇住嚟！	我不會就這樣放過這個問題。 你最好小心點！
今次佢大鑊喇，欠咗大耳窿幾十萬。	他現在真的有大麻煩了——他欠高利貸者幾百美元。
天文臺	天文臺
攬住個啤啤	抱寶寶
你等一陣	你稍等一會兒
人文主義	人道主義
粒聲唔出	一聲不響
我鍚佢一啖。	我給了他一個吻。
妹仔	丫頭
你呢個人真係好唔中用。	你這個人真沒用。
你喺過我屋企食飯未啊？	你在我家吃過飯嗎？
佢畀個波打中咗。	他被球擊中了。
政府會切實執行呢一條新規例。	政府將堅定不移地執行這項新規定。
你哋快啲啦!舅母佢哋而家喺柯士甸站等緊你哋	你們快點吧！舅母他們現在在柯士甸站在等你們
好多政府既文宣係度	很多政府既文宣在這裏
畀著你係我，你會有咩反應？	換了你是我，你會又什麼反應？
鄉里鬼鬼	老鄉
四個字	二十分鐘
你可能話 呢啲數據好好 ， 非常合邏輯 但係 ， 有冇可能做到 ？	你可能會說 ， 這些數字 太棒了 ， 而且言之成理 但實際可行嗎
Blue Mountain。Blue Mountain都係乜嘢𡃉啫嗎。	Blue Mountain。Blue Mountain 都是什麼而已嗎。
個計劃最終告吹。	計劃終於泡湯了。
好嘢唔係用嚟嘥㗎	好東西不是用來浪費的
我住喺香港。	我住在香港。
我份人好易話為，唔會同佢拗。	我是一個隨和的人，不會和他爭論。
子明，接好啲啦。	子銘，收的好！
子女免税額	兒童免稅額
你講嘅嘢，我唔認同。	我不同意你說的。
胡天胡帝	亂來一氣
親力親為	親自幹
糖黐豆	關係很親密
大嫂要去元朗河北第八街嗰度買啲嘢	大嫂要去元朗河北第八街那裏買點東西
佢份人	他這個人
我有嘢要你做	我有事要你做
唔知痛	不懂利害
財政司現時獲轉授的權力是否包括批准增加整體撥款項下撥款的權力，仍不甚明確	財政司現時獲轉授的權力是否包括批准增加整體撥款項下撥款的權力，仍不甚明確
怕她趺倒，怕她血糖急跌	怕她攆倒，怕她血糖急跌
但係不過問題在於就係咩呢？仲未有人去取消佢資格，佢未宣誓。	不過問題在於尚未有人取消他的資格，他是未宣誓。
留醫	住醫院治療
請問邊一架巴士去佐敦地鐵站呀？	請問哪路車到佐敦地鐵站？
潤中國際控股	潤中國際控股
噉，我希望你-你都考慮下請呢啲議員回去。	希望你考慮請這些議員返回座位。
子	魚蝦等的卵
呢筆數好大	這筆錢很大
網頁指南	站點地圖
單系新浪網 ， 一個主要的新聞網站 ， 就有超過 1.4 億微博用戶 。	單是新浪網 , 一個主要的新聞網站 , 就有超過 1.4 億的微博用戶 .
有兩種規條特別困難 。	並且還有兩種律法 ， 特別挑戰 。
慌死	生怕
佢經常搵藉口唔做嘢，真係畀佢激奀！	他常常借口不幹活兒，真被他氣壞了！
佢身材瀟湘。	她的身材苗條優美。
佢哋點樣行集體決定 點樣分配任務同勞工 點樣傳達採花地點嘅信息 佢哋所有社會行為都令人興奮不已	牠們是怎麼達成集體決策 ? 怎麼分配任務和分工 ? 還有牠們如何傳達花的位置 ? 牠們的種種集體社會行為都令人驚嘆
我哋可以喺頭同胸嘅位置做手語	五線譜在頭胸之前 。
我想趁呢個機會多謝我老師。	我想藉此機會感謝我的老師。
打開個櫃桶	打開抽屜
趁後生試多啲唔同嘅嘢。	趁著年輕，嘗試不同的事情。
上星期日我同家姐去咗郊外放紙鷂。	上個星期天，我和姐姐去鄉下放風箏。
士達福信路	士達福信路
你有幾重啊？	你有多重？
我中學個老師住喺筲箕灣欣景花園	我中學的老師住在筲箕灣欣景花園
你件衫長翻啲先啱	你的衣服再長些才合適
有對夫婦為咗解釋佢哋受精嘅過程 帶咗啲仔女去農場 睇獸醫同奶牛接種	一對夫婦解釋他們的受精 ， 是帶他們的小孩到一座農場 ， 去看一位獸醫給母牛做授精 。
誒，自己比較鍾意即係周圍行下睇下。就睇啱鍾意自己個牌子，又要睇下啲價錢嗰方面囖。即係有啲某公司就會比較又會貴啲，或者𠻺九龍，或者某公司又會平啲噉囖。	淘氣，自己比較喜歡就是到處走下看看。就看剛喜歡自己的牌子，又要看看這些價錢那方面嫋。就是有些某公司就會比較又會貴點，或者掄九龍，或者某公司又會便宜點地。
啊，係啊，係啊，係啊，係啊，係啊。	啊，是啊，是啊，是啊，是啊，是啊，是啊。
叫多籠蝦餃啦	多點一籠蝦餃吧
語言學並唔會直接令你學到其他語言。	學習語言學並不意味著直接學習其他語言。
我哋嚟集思廣益一下，諗下我哋個present要做咩topic好。	讓我們想想當每個人都在這裡時，我們應該在演示文稿中討論什麼主題。
我琴日出街時背住嘅背包俾人拉開咗拉鏈，發現俾人偷咗個碎紙包，但好彩裝信用咭嗰個銀包仲响度。	昨天我外出購物時，有人拉開了我背著的背包的拉鍊。 我發現我的零錢包被偷了，但幸運的是我的信用卡錢包還在。
我畀咗三次錢你	我給了你三次錢
M到唔好食雪糕	M 得不好喫冰淇淋
好多喺學校收馬嘅人，本身都係人哋啲馬嚟。	至於在學校招募新幫派成員的很多人，他們本身就是其他人的追隨者。
哦。但係你-其實你-其實你屋企係唔係個個人都鍾意哩隻寵物嘅先？	哦。但是你-其實你-其實你家是不是每個人都喜歡這個寵物的？
等翻屋企先至炮製你！	等回家再治你！
一到説破他們的隱情，	一到説破他們的隱情，
呢個仔最擒騎喇	這個孩子最愛爬上爬下
我對於呢份工已經完全絕望。	我對這份工作感到完全沒有希望。
打仗嗰陣人人都冇啖好食	打仗那會兒，人人都沒安穩日子過
我公公住喺何文田懿薈	我公公住在何文田懿薈
我知道喇，你唔好再吟噚啦！	我知道，所以你最好不要再嘮叨了！
佢嗰陣咪話去旅行噉樣啊？	他那時別說去旅行這樣啊？
輸到貼地	輸得很慘
呢啲傢俬全部都好新淨	這些傢具還是新的
啲書稿沓起嚟有成呎咁高。	這些手稿疊起來有一英尺高。
月尾喇喎，你出糧未啊？	現在是月底。 你收到工資了嗎？
憎	討厭
獨生女	獨生女
通過語言組織嚟表達一個主題意義嘅文體	通過語言組織來表達一個主題意義的文體
硬係爭啲。	硬是差點。
記者會遲到	記者會遲到
佢日曬雨淋都喺地盤做嘢，做到巢皮掹雞咁。	他在部門工地干活，日曬雨淋，皮膚粗糙，佈滿皺紋。
小明一直唔開心都唔係辦法，不如就由我地去打開佢嘅心窗，氹佢開心？	小明一直悶悶不樂不好，我們何不去打開他的心扉，讓他振作起來呢？
