炸彈同地雷比任何軍階大	炸彈和地雷比任何軍階大
足球套票	一套足球比賽門票
點解做完手術之後我對腳冇晒知覺嘅？	為什麼手術後我感覺不到我的腿？
通知	通知、告知
我地想令語音數據能被公開地自由地使用	我們想讓語音數據能被公開地自由地使用
舌頭	舌頭的
今次佢大鑊喇，欠咗大耳窿幾十萬。	他現在真的有大麻煩了——他欠高利貸者幾百美元。
如果佢喺元朗金竹北路搵唔到便利店買汽水	如果他在元朗金竹北路找不到便利店買汽水
法證事務部	法醫學司
唔少人都希望自己嘅退休生活逍遙。	許多人希望他們的退休生活是自由的。
呢張枱有四揇幾長	這張桌子有四拃多長
返頭婆	再醮婦
既然其他國家都可以成功限制每日工作小時同埋實施最低工資，我相信喺香港都一定得。	由於其他國家的企業可以通過控制工作時間和最低工資來生存，我相信它在香港也行得通。
（ 笑 ） 所以 … …	( 笑聲 ) 所以 ,
你哋下年三月就考嚹喎英文。	你們明年三月就考考啦英文。
BB仔啱啱學行路，行得有啲笨拙。	蹣跚學步的孩子剛剛學會走路，看起來有點笨拙。
高大威猛	高大威武
賣點	吸引處
至於要點應對 我哋可以從西歐得到一啲啟示 佢哋似乎喺工作方面有一啲成效	關於要怎麼做 ， 我們可以 從西歐得到一個提示 ， 在西歐的工作場所 似乎有許多很好的點子 。
真係冇辦法想像	這令人難以置信 。
十一個字	五十五分鐘
佢咁好人，點會攪成噉？	他人這麼好，怎麼會弄成這樣？
搵個人嚟幫吓手吖，呢單嘢我一個人攪唔掂。	你能找人幫我嗎？ 這件事我一個人解決不了。
經濟低迷，新發展區嘅計劃寸步難行。	在這個萎靡不振的經濟中，發展計劃不得不停止。
夠鐘翻學啦喎，仲唔起身？	到時間上學了，還不起來？
你再講我嬲㗎喇！	你再說我就生氣了！
你份功課做得好撈絞！	你的作業亂七八糟！
武裝分子挾持咗幾十個外國人質作為佢哋嘅談判籌碼。	武裝團體俘虜了數十名外國人作為討價還價的籌碼。
咁鮓。	那麼鮓。
邊個啊？豬仔嘔呀？	誰啊？小豬嘔吐啊？
有線	有線電視
真係好食，你做嘅沙律真係好味呀！	好吃極了，你做的沙拉真好！
皇帝賜咗個金牌俾佢。	皇帝授予他金牌。
一定係除非唔係	一定是除非不是
我太太覺得打仔係唔會令佢哋聽話啲。	我妻子認為打孩子不會讓他們表現得更好。
南瓜拼番薯	南瓜拼紅薯
低窪地區出現嚴重水浸	低窪處被嚴重淹沒。
沖涼房	洗澡間
喺我用佢整聲音 同埋用佢編輯我把聲之前 我想講多次 ， 所有你會聽到嘅聲音 都通過我把聲造出嚟嘅	在我開始用它 控制我的聲音之前 ， 我想重申你將要聽到的一切 都來源於我的聲音 。
女仔去嗰啲地方，好容易畀人搏懵㗎	女孩子家去那種地方，很容易被人佔便宜的
佢話 ， 母愛係世界上最堅韌嘅紐帶 佢愛佢嘅仔女 ， 多於世上嘅一切 但係因為佢個病 佢堅信佢啲仔女冇佢仲好	她跟我保證母愛是世上最強的聯繫 ， 她愛她的孩子超過世上任何東西 ， 但是因為她的病 ， 她確信沒有她他們會過得更好 。
綠帽唔怕戴 最緊要除得快	綠帽不怕戴最重要脫得快
夾硬	夾硬
然後餵了她喝三碗蜜糖水	然後餵了她喝三碗蜂蜜水
呢度乜嘢都係我一腳踢	這裡什麼事情都是我一個人幹
翳氣	把氣憋在心裏
耍樂	玩耍
天文臺	天文臺
吓？澳門輕軌仲未起好？	什麼？ 澳門輕軌建設還沒完工？
但系儘管我透露咗 好多信息 我嘅生活卻保持住高度隱蔽唔受打擾	因此 ， 在我這信息的 噪音攻勢 ， 我其實是活在一有個令人難以置信的匿名和私人的生活 。
大吉利事，碰到啲噉嘅衰嘢	大吉大利，真糟糕碰到這樣的事
濫用職權	濫用職權
（）香港去到新界噉樣喎，噉但係我搭車去真係唔係好遠，噉呢如果我去九龍嗰啲學校呢，我都要成九個字喇，搭車嗰啲。	（ ）香港到新界這樣，但是我乘車去真的不是很遠，那如果我去九龍那些學校呢，我也要成九個字了，乘車那些。
劉 ︰ 所以我哋將生物感應器 連接到開關 ， 控制呢啲細胞 我哋將呢個開關擺喺 一個改造過嘅病毒裏面 將病毒注入老鼠大腦	劉旭 ： 於是我們剪下部分的傳感器 把它粘在細胞的開關上來控制細胞 然後把這個開關塞進一個工程病毒裡 再注入老鼠的大腦
我哋幾個人落重本，想攪好間公司。	我們幾個人投入了很多資金，因為我們要經營好生意。
佢話食呢啲蝦蟹好毒㗎。	他認為，吃這些蝦蟹極有可能引起過敏。
可以讓大家工作暢通啲	可以讓大家工作暢通點
呢度咁多位都係我嘅老師	這裡諸位都是我的老師
流浪貓喺新田碧豪苑第六街嘅垃圾桶搵野食	流浪貓在新田碧豪苑第六街的垃圾桶找東西喫
賣俾人。賣俾人囖。不過通常我朋友我都唔鍾-，即係點呢？唔鍾意話好似賣高些少噉賣俾人，嗰啲好似，好似喺朋友身上揾錢噉嘅啫。	賣給人。賣給人贏。不過通常我朋友我也不鍾-，就是怎樣呢？不喜歡說跟賣高一點點一樣賣給別人，那些好像，好像在朋友身上賺錢這樣的而已。
唔係無人要，只係唔想要	不是沒人要，只是不想要
（ 笑 … … ） 齋月果陣時 ， 我地都要食齋 。	（ 笑聲 ） 回教齋戒月時我們都要一同禁食 。
部收音機整唔返喇。	收音機無法修復。
我聽呢個傘兵講嘢之後，就覺得佢真係俾人洗咗腦噉。	聽了這個傘兵的話，我覺得他真的被洗腦了。
拋離	拋棄
香港衞生署中央健康教育組推薦運動為一種有效嘅減壓良方。	香港衛生署中央健康教育組推薦運動作為減輕生活壓力的有效方法之一。
你唔使狡辯	你不用狡辯
如果將條海膽幼蟲 喺pH 8.1 捉出嚟 擺落pH 7.7 唔會變好多 -- 變形同埋死	把海膽幼蟲也放入酸一點的海水 ， ph值在 7.7 到 8.1 之間 ， 離正常值只差那麼一點點 ， 就足夠讓它們外觀變形甚至死亡 。
麵豉醬煮鯖魚	豆瓣醬醬煮草魚
亞仔，覺覺豬喇！	兒子，睡覺了！
打咗一個關斗	翻了一個跟頭
實行	決意
佢搞軭咗我哋個關係。	他破壞了我們的關係。
楓糖漿	楓糖漿
有得賣	有存貨
如果佢哋發現有嘢 違背咗佢哋嘅假設 就會覺得好奇	他們更可能感到有興趣 ， 當他們遇到一些 與他們預期相反的事情 。
有個老婆婆喺上水缸瓦甫路等緊小巴	有個老婆婆在上水缸瓦甫路等小巴
望就噉望啦。	希望如此。
心大心細	拿不準主意
勝出嘅香港先生將會代表香港參選世界先生選舉。	獲勝的香港先生將繼續代表香港參加世界先生選美大賽。
但咁樣嘅機器 又點樣同現實世界互動呢 ？	但之後機器要如何與現實世界互動呢 ？
其實去倫-不過兩個禮拜你-嗰張機票抵唔抵喇？因為每年呢，唔知三四月，即係好似由而家-係啊，由而家到正式…	其實去倫-不過兩個禮拜你-那張機票抵不值得了？因爲每年呢，不知道三四月，就是像從現在-是啊，從現在到正式...
老細，呢排熱氣，同我整碗下火先。	老闆，我這幾天上火了，給我煮一碗皮蛋瘦肉粥。
一日不見，如隔三秋	相隔一天就像三年
TBA 嘅意思係留待宣布	TBA ， 待宣佈的 。
佐治・奧威爾係佢最鍾意嘅小説作家。	喬治奧威爾是他最喜歡的小說家。
嬲爆爆	很生氣
我依家喺九龍塘衡州道，附近有停車場泊車嗎	我現在在九龍塘衡州道，附近有停車場停車嗎
一齊幫下手貢獻句子吖	一起幫下手貢獻句子
唔使唔該	不謝
正如我可能唔再認識你	正如我可能不再認識你
嘩，正啊真係，一份好好嘅生日禮物喇，真係唔使我哋多買嚹已經。	哇，正啊真，一份很好的生日禮物了，真不用我們多買葷已經。
山旮旯	深山中偏僻處
賭場裏面有好多大耳窿爪牙㗎。	賭場裡有很多放高利貸的手下。
嗰間大酒樓執笠，遣散咗過百員工。	那家大飯店倒閉了，一百多名員工被解僱。
打爛飯碗	打碎飯碗
完全同我諗法有出入	我真是驚呆了 。
唔好怪我揸正嚟做。	別怪我太守規矩了。
我開始意識到 ， 乞討解決唔到問題	我逐漸明白 ， 乞討也不能解決問題 。
全天候	每時每刻
佢話去日本開會，其實係同情婦幽會。	他說是去日本開會，其實是偷偷去見情人的。
係啊，但係佢-佢都趕唔切。佢三點鐘先考完。	是啊，但是他 - 他也來不及了。他三點鐘才考完。
我買咗呢件新衫，你點睇？	我買了一件新襯衫。 你怎麼認為？
著咗件新棉衲，暖粒粒噉	穿了件新棉襖，暖暖和和的
擙嗰朵花落嚟	伸手去摘花
家姐話聖地牙哥徑係喺元朗但係唔知巴士路線	姐姐說聖地牙哥徑是在元朗但是不知道巴士路線
嗰件嘢幾擇使㗎	那件事兒夠麻煩的
面懵	臉皮厚
三叔份人好疏爽㗎！如果你經濟上真係出咗問題嘅，你可以試下揾佢幫幫手㗎噃。	三叔為人很大方，遇到經濟不景氣的時候應該找他幫忙。
噉喺夜晚呢，即係隔籬左右呢，都係政府合署嘅。噉所以呢，冇乜人行街，噉就，好-好多人喺度開檔嘅。	晚上因為旁邊是政府合署已經關門，沒什麼人使用，很多人在這裡開檔。
咁夜嘞，仲去滾攪人？	這麼晚了，還去打攪人家？
生意往來	業務往來
佢兩個係拖友嚟，我哋快啲走，唔好喺度做電燈膽。	兩個人在約會，還是趕快離開吧，不能在這逗留沒禮貌。
差唔多喇，我重有幾個客要見。今日係咁先啦	差不多了，我還有幾個客人要見。今天是這樣先吧
係唔係啊？好吖。係。我哋有機會再見喇。拜拜。	是不是啊？好呢。哦 對。我們有機會再見了。拜拜。
邊度有飛碟呀？你係咪high大咗？	哪裡有不明飛行物？ 你吸毒瘋了嗎？
好核突。	好惡心。
落咗一陣雨	下了一陣子雨
唔好噉啦！	別這樣了！
得	成
因為有啲燒所以去咗睇醫生。	我去看醫生是因為我發燒了。
有頭有路	頭頭是道
拐子佬	人販子
係呀，有冇量過血壓呀？	是的，有量血壓嗎？
吹汽球	吹氣球
我家姐估黎估去都淨係得失過關小姐一人	我姐姐猜來猜去也只是得失過關小姐一人
我勞動慣咗嘍。	我習慣於體力勞動。
我每個月收到一千張fax，有九百張係廣告嚟嘅。	我每個月收到一千份傳真，其中九百份是廣告。
我同佢講得一清二楚㗎喇，我唔會嫁俾佢。	我對他一清二楚。 我不會嫁給他。
轉彎就係停車場嘞！	停車場就在拐角處。
中國很快就會超越美國	中國很快會超越美國 .
我細仔到五年級先俾佢自己落街買吓嘢。	在我允許他一個人上街買東西之前，我的小兒子上五年級。
櫃門塊板殽，閂唔實	櫃門上這塊板變形了，關不嚴
警方從前後包抄啲賊人。	警察從背後包抄劫匪。
學生話佢知石溪里係喺灣仔，但係唔知有冇小巴經嗰度	學生說他知道石溪裏是在灣仔，但是不知道有沒有小巴經那裏
佢成日心野，11點都唔肯瞓。	她一直心煩意亂，到11點都睡不著。
有人話囡囡係爸爸嘅前世情人。	都說女兒是爸爸的前世情人。
我畀佢錫咗一啖	我被他親了一下
太空戰士	太空戰士
離場抗議	離開以示抗議
士撻	熒光燈啟輝器
亞麗佢有心啦，不過我哋都有嘢送畀佢吖，係我哋大家嘅心意嚟㗎	謝謝阿麗的關心，不過我們也有東西送給她，是我們大家的心意
白癡	傻瓜
軟泥上的青荇	軟泥上的青荇
佢最終戒得甩毒癮。	他最終戒掉了毒癮。
佢哋亦都可以重修祭壇 以佢哋嘅方式 、 喺屬於佢哋嘅地方 崇拜佢哋嘅神	他們也能重修祭壇 以他們的方式 在屬於他們的地方 崇敬他們的神
唔見晒𡃉喇嗎。	不見了嗎。
佢媽媽嗰句 「 我哋籌錢唔到 十五蚊嘅車費嚟揾你 。 」 令我醒覺 等病人嚟揾我 呢個方法行唔通	艾瑞卡母親的那句話 ： 「 我們沒有十五元的 公車錢去找你 。 」 讓我了解到 ， 這樣不行的 。 我不能期望人們來找我 。
呢件事好易話為。	這件事很容易想出解決辦法。
每日食三份菜	每天喫三份菜
喀，就而家封面影幅相就係佢企喺面前嗰個吖嗎。	喀，就現在封面拍幅照片就是他站在面前那個啊嗎。
因為呢就即係群情𠻺洶湧。	因爲這就就是羣情洶洶湧。
小朋友，食唔食雪糕啊？	孩子，你想吃冰淇淋嗎？
塞翁笑住咁話	塞翁笑着那就說
火屎	火星兒
係咩？但係乜唔係即係-	是嗎？但是什麼不是就是-
微服出巡嗰啲，係嗎？	微服出巡那些，是嗎？
辟	剔去
應課税物業	應稅財產
相喺邊度？	那照片在哪兒？
凍過水	沒甚麼希望
我希望我嘅作品可以 為咁樣嘅坦承交流創造一個安全嘅空間 為大家互相進行真實必要嘅對話 提供一個機會	我希望我的作品可創造一個安全空間 提供這種坦誠交流 ， 並提供機會讓大家參與 彼此真實及必要的對談 。
人口中位數年齡反映社會嘅老齡化水平。	人口年齡中位數反映社會老齡化程度。
爭住五十個先	暫且欠著五十個
東南亞	東南亞
蜘蛛絲	蜘蛛絲
真係笑到條腰都彎埋。	真笑得腰也彎了。
閒	閑暇
唱得幾好㗎！	唱得不錯！
佢窮到食貓魚。	他很窮，只能吃一些餵貓的小魚。
除拆	消耗
威	威脅
但係佢做GM，但係佢遲下可能bargain到，即係做一-一輪噉又轉返GM𡃉喇。	但是他做GM，但是他遲下可能bargain到，就是做一-一陣那又轉回GM淘氣了。
熱情。	熱情。
你又走學啊？唔怕阿蛇知啊？	你又逃課了？ 不怕老師知道嗎？
鄉里鬼鬼	老鄉
睺	看上
好碞磛	高低不平
但到呢一刻 我真心希望一個人冇睇到呢場演講	即便如此 ， 我仍強烈希望她現在沒有看這個演講 即便如此 ， 我仍強烈希望她現在沒有看這個演講
甚至十年後 佢哋仲記得當初收到嘅建議	即使 10 年後 ， 他們仍然記得輔導員給予的建議 。
抰起啲紙碎	揮動紙屑
你-你，誒，你點知有哩個post𡃉？	你-你，淘氣，你怎麼知道有個post淘氣？
